step,num_cases,roi_pixels,mean_roi_mae,mean_roi_psnr,mean_roi_ssim,pixel_weighted_roi_mae,pixel_weighted_roi_psnr,pixel_weighted_roi_ssim
2000,6,4493,16.615402062733967,21.47090954147909,0.5274961590766907,18.81081648741059,20.1862491355785,0.4079960049485513
4000,6,4493,16.087504227956135,21.685570854949532,0.5399109820524851,18.22101077804209,20.2564258857724,0.41381798866674413
6000,6,4493,15.77092425028483,21.822937663800214,0.5416595687468847,17.71689246869846,20.41591524442903,0.41610970770811256
8000,6,4493,15.35196304321289,22.003174767264102,0.5462208737929662,17.228355087630074,20.594021938283085,0.4252278150162717
10000,6,4493,15.050973256429037,22.065094824348268,0.5452458560466766,16.941464368734014,20.701907880369724,0.42420544216793626
12000,6,4493,15.008424758911133,22.07136437625319,0.5470894575119019,16.844647586889582,20.76912013255427,0.42735523920719326
14000,6,4493,14.945712407430014,22.05988133649225,0.5443877329428991,16.904963719826245,20.754085838617634,0.4262065924529957
16000,6,4493,15.026077588399252,22.069494516220896,0.5441469997167587,17.19786350408164,20.674294700273187,0.427898576835097
18000,6,4493,14.9157501856486,22.148829240517017,0.5407897184292475,17.005564579686688,20.753261822110844,0.427522546174981
20000,6,4493,14.975352128346762,22.105561735404947,0.539069801568985,17.093701179431378,20.694076771655038,0.42408350510027315
22000,6,4493,15.123227755228678,22.093871107674147,0.5350680450598398,17.233251572504305,20.6541410678388,0.42239720195750735
24000,6,4493,15.197421073913574,22.02079123138888,0.5340201904376348,17.445804517624136,20.576605667473864,0.42201622332254124
26000,6,4493,15.205505212148031,22.039139299897972,0.5331306209166845,17.476296317251016,20.599834251277347,0.4183885946309357
28000,6,4493,15.430578549702963,21.93984189002823,0.5296129534641901,17.588470815577487,20.54458721093118,0.41533281799549254
30000,6,4493,15.478775024414062,21.924324041575876,0.5262413769960403,17.598931453924735,20.53291005267122,0.4121521010301757
32000,6,4493,15.599569320678711,21.84812500612361,0.5229510962963104,17.628978541824406,20.518432341120256,0.4081663035906001
34000,6,4493,15.609951178232828,21.822085445983372,0.518723706404368,17.90741087359308,20.375497400705463,0.40036840002918306
36000,6,4493,15.690927028656006,21.788009252287253,0.5171440492073694,17.783440784332935,20.470969182253693,0.40459296604771405
38000,6,4493,15.567636489868164,21.876795312722304,0.5209140678246816,17.84509254632165,20.439240410803595,0.408623994564177
40000,6,4493,15.584640661875406,21.902421431937398,0.5214626342058182,17.929223436304223,20.415676311532152,0.4087772939628624
42000,6,4493,15.55158789952596,21.891792499206662,0.5202928185462952,17.944803434890282,20.424879300210534,0.4080645239966074
44000,6,4493,15.505915006001791,21.94147441332845,0.5204781343539556,18.041620209517948,20.41392459586854,0.40869177627505104
46000,6,4493,15.718836943308512,21.837220327715666,0.5177209277947744,18.276207085470833,20.3303788349986,0.4074027282528906
48000,6,4493,15.654128869374594,21.82865897908472,0.5151571979125341,18.099933598796643,20.375602600816194,0.4078415107374172
50000,6,4493,15.868730862935385,21.719452920536877,0.5162697285413742,18.34075164497761,20.254546694838282,0.40780388548117874
52000,6,4493,15.614027182261148,21.811880638773786,0.5160528272390366,18.18050340456764,20.287161349877998,0.4049457583519231
54000,6,4493,15.784891287485758,21.76354159291464,0.5197619746128718,18.425550987214784,20.1911688823129,0.4052835287335135
56000,6,4493,15.768353780110678,21.801895719522786,0.5198491364717484,18.21010484319738,20.299086998976392,0.40612232746776533
58000,6,4493,15.840242862701416,21.84121130293047,0.5229596247275671,18.54974452323752,20.222035794360494,0.4106658519296054
60000,6,4493,15.841972668965658,21.793982997062518,0.5229295442501704,18.196973645498723,20.35714535924899,0.41548182899718983
