step,weighted_l1_noise_loss
100,0.6810276806354523
200,0.48842328786849976
300,0.4946814179420471
400,0.43627429008483887
500,0.31711000204086304
600,0.3792537599802017
700,0.29986559599637985
800,0.21326709538698196
900,0.24690035730600357
1000,0.48672741651535034
1100,0.26831330358982086
1200,0.5718135982751846
1300,0.25564422458410263
1400,0.19754520803689957
1500,0.19344960525631905
1600,0.1856512576341629
1700,0.17364148050546646
1800,0.14761120826005936
1900,0.12945585325360298
2000,0.20108917728066444
2100,0.22138917073607445
2200,0.07972465828061104
2300,0.1660529002547264
2400,0.19275102019309998
2500,0.14247360825538635
2600,0.0881098136305809
2700,0.17493263632059097
2800,0.05763503164052963
2900,0.25560662895441055
3000,0.07733504846692085
3100,0.43834827095270157
3200,0.09551546350121498
3300,0.1840013861656189
3400,0.09643108770251274
3500,0.10930003970861435
3600,0.0626719743013382
3700,0.15550192818045616
3800,0.08164742216467857
3900,0.08774315565824509
4000,0.14463713951408863
4100,0.07903256267309189
4200,0.43924980238080025
4300,0.049696700647473335
4400,0.44010812044143677
4500,0.04492684081196785
4600,0.11429519206285477
4700,0.21124853193759918
4800,0.07305077277123928
4900,0.12082423269748688
5000,0.15947262942790985
5100,0.1555676981806755
5200,0.08613920584321022
5300,0.04820237308740616
5400,0.07047561183571815
5500,0.09579026885330677
5600,0.08179803378880024
5700,0.0739075355231762
5800,0.07471451535820961
5900,0.0856418963521719
6000,0.06444506347179413
6100,0.18411625176668167
6200,0.16895946115255356
6300,0.05030781961977482
6400,0.04194054380059242
6500,0.11320491321384907
6600,0.05394646152853966
6700,0.032476180233061314
6800,0.10183161497116089
6900,0.2694055959582329
7000,0.08343922346830368
7100,0.060201022773981094
7200,0.04114559851586819
7300,0.13481767196208239
7400,0.11335344612598419
7500,0.12397878989577293
7600,0.20663203299045563
7700,0.08021996915340424
7800,0.15320780873298645
7900,0.08739839307963848
8000,0.319782555103302
8100,0.06175219640135765
8200,0.295124888420105
8300,0.17215362191200256
8400,0.06608578935265541
8500,0.14867950975894928
8600,0.057811418548226357
8700,0.11549239605665207
8800,0.06156058795750141
8900,0.04103149473667145
9000,0.07820793986320496
9100,0.07491281814873219
